Reference, Value, Footprint, Datasheet
"R1","22k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"R2","2k2","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"R3","300R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"R7","300R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"R8","300R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"R11","1k2","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"R13","2k2","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"D13","20V/0,5W","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","~"
"D14","20V/0,5W","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","~"
"R4","300R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"R5","300R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"R9","300R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"R10","300R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"R12","1k2","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"R14","2k2","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"R6","300R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"R15","12k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"R16","12k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"C2","100n/100V film","Capacitor_THT:C_Rect_L10.3mm_W5.7mm_P7.50mm_MKS4","~"
"R19","1k1","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"R18","1k1","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"R21","30R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"R23","360R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"C10","10p","Capacitor_THT:C_Disc_D6.0mm_W2.5mm_P5.00mm","~"
"C8","180p","Capacitor_THT:C_Disc_D6.0mm_W2.5mm_P5.00mm","~"
"R25","8k2","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"Q7","BD139","Package_TO_SOT_THT:TO-92_Inline","http://www.onsemi.com/pub_link/Collateral/MPSA42-D.PDF"
"C12","100n/50V film","Capacitor_THT:C_Rect_L7.2mm_W3.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2","~"
"R27","1k2","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"R28","270R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"R22","30R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"R24","360R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"C11","10p","Capacitor_THT:C_Disc_D6.0mm_W2.5mm_P5.00mm","~"
"C4","100u/63V","Capacitor_THT:CP_Radial_D12.5mm_P7.50mm","~"
"C3","100n/100V film","Capacitor_THT:C_Rect_L10.3mm_W5.7mm_P7.50mm_MKS4","~"
"C5","100u/63V","Capacitor_THT:CP_Radial_D12.5mm_P7.50mm","~"
"C6A1","330u/16V","Capacitor_THT:CP_Radial_D10.0mm_P5.00mm","~"
"C6B1","330u/16V","Capacitor_THT:CP_Radial_D10.0mm_P5.00mm","~"
"C7","100n/50V film","Capacitor_THT:C_Rect_L7.2mm_W3.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2","~"
"C14","100u/63V","Capacitor_THT:CP_Radial_D12.5mm_P7.50mm","~"
"C16","100n/100V film","Capacitor_THT:C_Rect_L10.3mm_W5.7mm_P7.50mm_MKS4","~"
"C15","100n/100V","Capacitor_THT:C_Rect_L10.3mm_W5.7mm_P7.50mm_MKS4","~"
"R32","82R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"Q10","MPSA06","Package_TO_SOT_THT:TO-92_Inline","http://www.onsemi.com/pub_link/Collateral/MPSA42-D.PDF"
"D7","1N4148","Diode_THT:D_DO-35_SOD27_P10.16mm_Horizontal","~"
"Q11","MPSA56","Package_TO_SOT_THT:TO-92_Inline","http://www.onsemi.com/pub_link/Collateral/MPSA92-D.PDF"
"R29","270R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"C17","100n/50V film","Capacitor_THT:C_Rect_L7.2mm_W3.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2","~"
"C18","100n/50V film","Capacitor_THT:C_Rect_L7.2mm_W3.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2","~"
"D9","1N4148","Diode_THT:D_DO-35_SOD27_P10.16mm_Horizontal","~"
"D10","1N4148","Diode_THT:D_DO-35_SOD27_P10.16mm_Horizontal","~"
"D8","1N4148","Diode_THT:D_DO-35_SOD27_P10.16mm_Horizontal","~"
"R31","3k9 0,5W","Resistor_THT:R_Axial_DIN0411_L9.9mm_D3.6mm_P15.24mm_Horizontal","~"
"Q15","BF470","Package_TO_SOT_THT:TO-126-3_Horizontal_TabDown","http://www.onsemi.com/pub_link/Collateral/MPSA92-D.PDF"
"R35","330R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"R30","3k9 0,5W","Resistor_THT:R_Axial_DIN0411_L9.9mm_D3.6mm_P15.24mm_Horizontal","~"
"Q14","BF469","Package_TO_SOT_THT:TO-126-3_Horizontal_TabDown","http://www.onsemi.com/pub_link/Collateral/MPSA42-D.PDF"
"Q16","MJE15030","Package_TO_SOT_THT:TO-220-3_Horizontal_TabDown","http://www.onsemi.com/pub_link/Collateral/MPSA42-D.PDF"
"D5","1N4148","Diode_THT:D_DO-35_SOD27_P10.16mm_Horizontal","~"
"R34","330R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"R36","220R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"R37","680R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
